Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Current location,,"In what year were you born? (enter 4-digit birth year; for example, 1976)",What is the highest level of school you have completed or the highest degree you have received?,Are you male or female?,Provide a short 1-2 word name of one physical activity.,"Describe the physical activity clearly. For example, if you wrote ""gym,"" clarify which specific activity you did at the gym. If you wrote ""martial arts,"" clarify which specific martial arts you practice. If you wrote ""hockey"" above, clarify whether you meant field hockey or ice hockey.","If you have a physical disability, to what extent does it interfere with your ability to do this activity?",Provide a short 1-2 word name of another physical activity.,"Describe the second physical activity clearly. Please be specific enough so that our analyst can group your physical activities with other people' similar physical activities. For example, if you wrote ""football,"" clarify whether you meant soccer, Gridiron football, rugby, or Australian rules football.","If you have a physical disability, to what extent does it interfere with your ability to do this second activity?","During the activity, do you engage with a group or go it solo?",,How expert are you at these physical activities?,,How much skill is required?,How predictable is the action?,To what extent do you find new and fresh experiences during the activity?,To what extent are there opportunities to express creativity during the activity?,How complex is the action and the environment in which it takes place?,How clear and straightforward are the long-term goals?,How quickly do you know whether what you wanted to accomplish in the long term was successful?,"How clear and straightforward are the short-term, moment-to-moment goals?",How quickly do you know whether what you wanted to accomplish in the short term was successful?,Does your extraneous mental chatter temporarily shut down during the activity?,How much time do you feel like is spent waiting for the next step in the activity?,How much of your body is involved in the activity? Is it full-body or only part of your body?,How much control do you feel like you can exert over your performance?,"During the activity, to what extent do you feel like you are in the present moment?",How spontaneous is your action?,"During the activity, how important does the activity feel?",To what extent do you care about how others judge your performance?,"After engaging in the physical activity, to what extent do you feel great?",What is the risk of minor physical injury (more than just muscle soreness)?,What is the risk of serious physical injury?,"Did you read all of the instructions and questions carefully? In your honest opinion, should we use your data in our analyses?"
,,02/14/2018 05:58:50 PM,02/14/2018 06:00:36 PM,,,,,,Pittsburgh Pennsylvania,USA,1989,Bachelor degree,Female,Hockey,I play hockey on ground,I do not feel hindered or do not have a physical disability.,running,i do cross country,I do not feel hindered or do not have a physical disability.,Group,Solo,Expert or professional,Expert or professional,{{Q5}} requires much more skill than {{Q8}}.,Both offer roughly equal predictability.,Both offer roughly equal novelty.,Both admit roughly the same amount of creativity.,Both are of roughly equal complexity.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both turn off my mental chatter to a roughly equal extent.,Both involve about the same amount of waiting.,Both involve my body to a roughly equal extent.,Both admit roughly equal control.,Both bring me into the present to a roughly equal extent.,Both require about the same extent of effort (both either effortless or effortful).,Both have roughly equal stakes.,"During both {{Q8}} and {{Q5}}, I have roughly equal concern about others' evaluations.",Both are roughly equally rewarding.,{{Q8}} has much more chance of physical injury compare to {{Q5}}.,{{Q5}} has much more chance of serious physical injury compare to {{Q8}}.,Yes
,,02/14/2018 05:41:23 PM,02/14/2018 05:45:29 PM,,,,,,"Los Angeles, CA",USA,1990,Some college but no degree,Male,jujitsu class ,jujitsu,I do not feel hindered or do not have a physical disability.,hiking,hiking,I do not feel hindered or do not have a physical disability.,Group,Solo,Beginner,Competent amateur,{{Q5}} requires much more skill than {{Q8}}.,{{Q8}} is much more predictable than {{Q5}}.,Both offer roughly equal novelty.,{{Q5}} admits much more creativity than {{Q8}}.,{{Q5}} is much more complex than {{Q8}}.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both turn off my mental chatter to a roughly equal extent.,Both involve about the same amount of waiting.,{{Q5}} involves somewhat more of my body than {{Q8}}.,Both admit roughly equal control.,Both bring me into the present to a roughly equal extent.,Both require about the same extent of effort (both either effortless or effortful).,{{Q5}} has somewhat higher stakes than {{Q8}}.,"During both {{Q8}} and {{Q5}}, I have roughly equal concern about others' evaluations.",Both are roughly equally rewarding.,{{Q5}} has somewhat more chance of physical injury compare to {{Q8}}.,{{Q8}} has somewhat more chance of serious physical injury compare to {{Q5}}.,Yes
,,02/14/2018 05:22:45 PM,02/14/2018 05:31:51 PM,,,,,,Washington DC,USA,1982,Bachelor degree,Female,running,"I run in the park regularly. Sometimes I run with other people in a group, but most times I prefer to run by myself. ",I do not feel hindered or do not have a physical disability.,swimming,"I am not a competitive swimmer, but I do swim by myself on a regular basis. ",I do not feel hindered or do not have a physical disability.,Solo,Solo,Competent amateur,Competent amateur,{{Q8}} requires much more skill than {{Q5}}.,{{Q5}} is somewhat more predictable than {{Q8}}.,Both offer roughly equal novelty.,{{Q8}} admits much more creativity than {{Q5}}.,{{Q8}} is much more complex than {{Q5}}.,Both have equally clear goals.,{{Q5}} has much more immediate feedback than {{Q8}}.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,{{Q5}} turns off my mental chatter much more than {{Q8}}.,{{ Q8}} involves a somewhat more waiting than {{ Q5}}.,Both involve my body to a roughly equal extent.,Both admit roughly equal control.,{{Q5}} brings me into the present somewhat more than {{Q8}}.,Both require about the same extent of effort (both either effortless or effortful).,Both have roughly equal stakes.,"During both {{Q8}} and {{Q5}}, I have roughly equal concern about others' evaluations.",Both are roughly equally rewarding.,{{Q5}} has somewhat more chance of physical injury compare to {{Q8}}.,{{Q5}} has much more chance of serious physical injury compare to {{Q8}}.,Yes
,,02/14/2018 05:18:50 PM,02/14/2018 05:27:36 PM,,,,,,"San Francisco, CA",USA,1978,Bachelor degree,Male,Hiking,Hiking in park trails,I do not feel hindered or do not have a physical disability.,Weight Lifting,Free weight lifting with bar bells and dumb bells.,I do not feel hindered or do not have a physical disability.,Solo,Solo,Competent amateur,Competent amateur,{{Q8}} requires somewhat more skill than {{Q5}}.,{{Q8}} is somewhat more predictable than {{Q5}}.,{{Q5}} offers a much more novelty than {{Q8}}.,{{Q5}} admits somewhat more creativity than {{Q8}}.,{{Q8}} is somewhat more complex than {{Q5}}.,Both have equally clear goals.,{{Q5}} has somewhat more immediate feedback than {{Q8}}.,{{Q8}} has somewhat more clear goals than {{Q5}}.,{{Q5}} has much more immediate feedback than {{Q8}}.,{{Q8}} turns off my mental chatter somewhat more than {{Q5}}.,{{ Q8}} involves a somewhat more waiting than {{ Q5}}.,{{Q8}} involves somewhat more of my body than {{Q5}}.,{{Q5}} permits somewhat more control than {{Q8}}.,Both bring me into the present to a roughly equal extent.,{{Q5}} feels like less effort than {{Q8}}.,Both have roughly equal stakes.,"During {{Q8}}, I am somewhat more concerned about others' evaluations than during {{Q5}}.",Both are roughly equally rewarding.,{{Q8}} has somewhat more chance of physical injury compare to {{Q5}}.,{{Q8}} has much more chance of serious physical injury compare to {{Q5}}.,Yes
,,02/14/2018 05:15:45 PM,02/14/2018 05:19:37 PM,,,,,,"Hartford, CT",USA,1996,Some college but no degree,Male,karate,"Sparring, Wrestling and Learning Forms.",I do not feel hindered or do not have a physical disability.,Soccer,Soccer with friends at the park.,I do not feel hindered or do not have a physical disability.,Solo,Group,Expert or professional,Competent amateur,{{Q8}} requires much more skill than {{Q5}}.,{{Q5}} is much more predictable than {{Q8}}.,{{Q5}} offers a much more novelty than {{Q8}}.,{{Q5}} admits somewhat more creativity than {{Q8}}.,Both are of roughly equal complexity.,{{Q5}} has much more clear goals than {{Q8}}.,Both offer roughly equally immediate feedback.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both turn off my mental chatter to a roughly equal extent.,{{ Q5 }} involves a lot more waiting than {{ Q8}}.,{{Q8}} involves much more of my body than {{Q5}}.,{{Q8}} permits somewhat more control than {{Q5}}.,{{Q8}} brings me into the present somewhat more than {{Q5}}.,Both require about the same extent of effort (both either effortless or effortful).,{{Q8}} has much higher stakes than {{Q5}}.,"During {{Q8}}, I am much more concerned about others' evaluations than during {{Q5}}.",{{Q8}} is much more rewarding than {{Q5}}.,{{Q8}} has much more chance of physical injury compare to {{Q5}}.,{{Q8}} has much more chance of serious physical injury compare to {{Q5}}.,Yes
,,02/14/2018 05:15:11 PM,02/14/2018 05:15:29 PM,,,,,,Las Vegas Nevada,USA,1983,Bachelor degree,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,02/14/2018 05:10:37 PM,02/14/2018 05:17:41 PM,,,,,,"Atlanta, Ga",USA,1978,Associate degree,Female,Volley ball,Volley ball is a sports game where you play with others across a net scoring points with a ball.,I do not feel hindered or do not have a physical disability.,Double dutch,It's a form of jump rope with at least 3 people. You jump until you misses. The other 2 people turns the rope on both ends.,I do not feel hindered or do not have a physical disability.,Group,Group,Competent amateur,Competent amateur,{{Q8}} requires much more skill than {{Q5}}.,{{Q5}} is somewhat more predictable than {{Q8}}.,Both offer roughly equal novelty.,{{Q8}} admits somewhat more creativity than {{Q5}}.,{{Q5}} is somewhat more complex than {{Q8}}.,{{Q5}} has somewhat more clear goals than {{Q8}}.,Both offer roughly equally immediate feedback.,{{Q5}} has somewhat more clear goals than {{Q8}}.,Both offer roughly equally immediate feedback.,{{Q8}} turns off my mental chatter somewhat more than {{Q5}}.,{{ Q8}} involves a somewhat more waiting than {{ Q5}}.,{{Q5}} involves somewhat more of my body than {{Q8}}.,{{Q5}} permits somewhat more control than {{Q8}}.,{{Q5}} brings me into the present somewhat more than {{Q8}}.,{{Q5}} feels like less effort than {{Q8}}.,Both have roughly equal stakes.,"During {{Q5}}, I am somewhat more concerned about others' evaluations than during {{Q8}}.",Both are roughly equally rewarding.,{{Q5}} has somewhat more chance of physical injury compare to {{Q8}}.,{{Q5}} has somewhat more chance of serious physical injury compare to {{Q8}}.,Yes
,,02/14/2018 05:06:43 PM,02/14/2018 05:10:08 PM,,,,,,"Milwaukee, WI",USA,1989,Bachelor degree,Male,Power lifting,Power lifting in competitions to see who can lift the most weight. ,I do not feel hindered or do not have a physical disability.,Running,5K marations with friends. ,I do not feel hindered or do not have a physical disability.,Solo,Group,Competent amateur,Competent amateur,{{Q5}} requires much more skill than {{Q8}}.,{{Q8}} is much more predictable than {{Q5}}.,{{Q8}} offers a much more novelty than {{Q5}}.,{{Q5}} admits much more creativity than {{Q8}}.,{{Q5}} is much more complex than {{Q8}}.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,{{Q8}} has somewhat more clear goals than {{Q5}}.,Both offer roughly equally immediate feedback.,{{Q8}} turns off my mental chatter much more than {{Q5}}.,{{ Q5 }} involves a lot more waiting than {{ Q8}}.,{{Q5}} involves much more of my body than {{Q8}}.,{{Q5}} permits much more control than {{Q8}}.,{{Q8}} brings me into the present somewhat more than {{Q5}}.,Both require about the same extent of effort (both either effortless or effortful).,{{Q5}} has somewhat higher stakes than {{Q8}}.,"During both {{Q8}} and {{Q5}}, I have roughly equal concern about others' evaluations.",{{Q5}} is somewhat more rewarding than {{Q8}}.,{{Q5}} has somewhat more chance of physical injury compare to {{Q8}}.,{{Q8}} has somewhat more chance of serious physical injury compare to {{Q5}}.,Yes
,,02/14/2018 05:05:35 PM,02/14/2018 05:10:01 PM,,,,,,"Orlando,FL",USA,1985,Associate degree,Female,Running,I run 5 miles daily,I do not feel hindered or do not have a physical disability.,volleyball,I play volleyball with my friends,I do not feel hindered or do not have a physical disability.,Solo,Group,Competent amateur,Competent amateur,{{Q5}} requires somewhat more skill than {{Q8}}.,{{Q5}} is much more predictable than {{Q8}}.,{{Q8}} offers a much more novelty than {{Q5}}.,{{Q8}} admits much more creativity than {{Q5}}.,,{{Q5}} has much more clear goals than {{Q8}}.,{{Q8}} has somewhat more immediate feedback than {{Q5}}.,{{Q5}} has somewhat more clear goals than {{Q8}}.,{{Q8}} has much more immediate feedback than {{Q5}}.,{{Q5}} turns off my mental chatter much more than {{Q8}}.,Both involve about the same amount of waiting.,Both involve my body to a roughly equal extent.,{{Q5}} permits somewhat more control than {{Q8}}.,{{Q8}} brings me into the present somewhat more than {{Q5}}.,{{Q8}} feels effortless compare to {{Q5}} where I have to struggle and force myself.,{{Q8}} has somewhat higher stakes than {{Q5}}.,"During {{Q8}}, I am much more concerned about others' evaluations than during {{Q5}}.",Both are roughly equally rewarding.,{{Q8}} has much more chance of physical injury compare to {{Q5}}.,{{Q8}} has much more chance of serious physical injury compare to {{Q5}}.,Yes
,,02/14/2018 05:04:22 PM,02/14/2018 05:04:40 PM,,,,,,"Petersburg, TN",USA,1978,"High school degree or equivalent (e.g., GED)",Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,02/14/2018 05:01:40 PM,02/14/2018 05:12:12 PM,,,,,,Orlando Florida,USA,1983,Graduate degree,Male,Crossfit,Intense interval type workouts that you try to execute in as little time as possible and best your own times.,I do not feel hindered or do not have a physical disability.,Wakeboarding,It is like skiing behind a boat but on only 1 board instead of 2 skis.  You can ramp up waves/wake and do tricks.,I do not feel hindered or do not have a physical disability.,Group,Solo,Competent amateur,Competent amateur,Both require roughly equal skill.,Both offer roughly equal predictability.,{{Q5}} offers a somewhat more novelty than {{Q8}}.,{{Q8}} admits much more creativity than {{Q5}}.,{{Q5}} is somewhat more complex than {{Q8}}.,{{Q5}} has much more clear goals than {{Q8}}.,{{Q8}} has much more immediate feedback than {{Q5}}.,{{Q5}} has somewhat more clear goals than {{Q8}}.,{{Q8}} has somewhat more immediate feedback than {{Q5}}.,Both turn off my mental chatter to a roughly equal extent.,{{ Q8}} involves a somewhat more waiting than {{ Q5}}.,Both involve my body to a roughly equal extent.,{{Q5}} permits somewhat more control than {{Q8}}.,Both bring me into the present to a roughly equal extent.,Both require about the same extent of effort (both either effortless or effortful).,{{Q8}} has somewhat higher stakes than {{Q5}}.,"During both {{Q8}} and {{Q5}}, I have roughly equal concern about others' evaluations.",{{Q8}} is somewhat more rewarding than {{Q5}}.,{{Q8}} has somewhat more chance of physical injury compare to {{Q5}}.,{{Q8}} has somewhat more chance of serious physical injury compare to {{Q5}}.,Yes
,,02/14/2018 04:39:30 PM,02/14/2018 04:40:03 PM,,,,,,"Oakland, CA",USA,1980,"High school degree or equivalent (e.g., GED)",Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,02/14/2018 04:26:35 PM,02/14/2018 04:27:12 PM,,,,,,"Atlanta, GA",USA,1978,Associate degree,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,02/14/2018 03:35:07 PM,02/14/2018 03:38:26 PM,,,,,,San Antonio Texas,USA,1996,Some college but no degree,Male,running,,I feel slightly hindered.,swimming,,I do not feel hindered or do not have a physical disability.,Solo,Group,Competent amateur,Competent amateur,{{Q8}} requires much more skill than {{Q5}}.,{{Q5}} is somewhat more predictable than {{Q8}}.,{{Q8}} offers a much more novelty than {{Q5}}.,{{Q5}} admits somewhat more creativity than {{Q8}}.,{{Q8}} is much more complex than {{Q5}}.,{{Q8}} has somewhat more clear goals than {{Q5}}.,{{Q8}} has somewhat more immediate feedback than {{Q5}}.,{{Q5}} has much more clear goals than {{Q8}}.,{{Q5}} has much more immediate feedback than {{Q8}}.,Both turn off my mental chatter to a roughly equal extent.,Both involve about the same amount of waiting.,{{Q5}} involves somewhat more of my body than {{Q8}}.,{{Q8}} permits much more control than {{Q5}}.,{{Q5}} brings me into the present much more than {{Q8}}.,{{Q8}} feels like less effort than {{Q5}}.,{{Q5}} has somewhat higher stakes than {{Q8}}.,"During {{Q8}}, I am much more concerned about others' evaluations than during {{Q5}}.",{{Q5}} is much more rewarding than {{Q8}}.,{{Q8}} has much more chance of physical injury compare to {{Q5}}.,The chance of serious physical injury is roughly equal.,Yes
,,02/14/2018 03:01:25 PM,02/14/2018 03:04:29 PM,,,,,,"Claremont, CA",USA,1980,Bachelor degree,Female,Hiking,I go to the mountains and hike on trails. ,I do not feel hindered or do not have a physical disability.,Kayaking,I kayak in the ocean or in a river.,I do not feel hindered or do not have a physical disability.,Group,Solo,Competent amateur,Competent amateur,{{Q8}} requires somewhat more skill than {{Q5}}.,Both offer roughly equal predictability.,Both offer roughly equal novelty.,Both admit roughly the same amount of creativity.,{{Q8}} is somewhat more complex than {{Q5}}.,Both have equally clear goals.,{{Q5}} has somewhat more immediate feedback than {{Q8}}.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,{{Q8}} turns off my mental chatter somewhat more than {{Q5}}.,{{ Q8}} involves a somewhat more waiting than {{ Q5}}.,{{Q5}} involves somewhat more of my body than {{Q8}}.,{{Q8}} permits much more control than {{Q5}}.,{{Q5}} brings me into the present much more than {{Q8}}.,{{Q5}} feels effortless compare to {{Q8}} where I have to struggle and force myself.,Both have roughly equal stakes.,"During {{Q8}}, I am somewhat more concerned about others' evaluations than during {{Q5}}.",Both are roughly equally rewarding.,{{Q5}} has somewhat more chance of physical injury compare to {{Q8}}.,{{Q5}} has somewhat more chance of serious physical injury compare to {{Q8}}.,Yes
,,02/14/2018 03:00:41 PM,02/14/2018 03:06:23 PM,,,,,,"Miami Gardens, FL",USA,1997,Associate degree,Male,HIIT Training,,I do not feel hindered or do not have a physical disability.,Calisthenics,"Calisthenics, bodyweight exercises that do not involved equipment. ",I do not feel hindered or do not have a physical disability.,Solo,Solo,Competent amateur,Beginner,{{Q8}} requires much more skill than {{Q5}}.,Both offer roughly equal predictability.,{{Q8}} offers a much more novelty than {{Q5}}.,{{Q8}} admits much more creativity than {{Q5}}.,Both are of roughly equal complexity.,Both have equally clear goals.,{{Q5}} has much more immediate feedback than {{Q8}}.,{{Q5}} has somewhat more clear goals than {{Q8}}.,{{Q5}} has somewhat more immediate feedback than {{Q8}}.,{{Q5}} turns off my mental chatter much more than {{Q8}}.,{{ Q8}} involves a somewhat more waiting than {{ Q5}}.,{{Q5}} involves somewhat more of my body than {{Q8}}.,Both admit roughly equal control.,{{Q8}} brings me into the present somewhat more than {{Q5}}.,{{Q5}} feels like less effort than {{Q8}}.,Both have roughly equal stakes.,"During both {{Q8}} and {{Q5}}, I have roughly equal concern about others' evaluations.",{{Q5}} is somewhat more rewarding than {{Q8}}.,{{Q5}} has somewhat more chance of physical injury compare to {{Q8}}.,{{Q5}} has much more chance of serious physical injury compare to {{Q8}}.,Yes
